date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index
06-12-2022,108.8666667,69.7625,1186.958333,42.98333333,51.90833333,89.33333333,0.302916667,24.54166667,0.78125
07-12-2022,108.35,65.2,746,29.1875,55.56666667,90.58333333,0.297083333,42,0.75625
08-12-2022,125.2625,81.6,870.4166667,45.51666667,75.5875,60.83333333,0.343333333,23.83333333,0.710416667
09-12-2022,161.7333333,109.25,1512.333333,79.25416667,136.4125,49.08333333,0.317916667,15.33333333,0.716666667
10-12-2022,138.1416667,92.29583333,1797.791667,78.40833333,57.2,38.91666667,0.276666667,16.54166667,0.745833333
11-12-2022,95.8375,62.19166667,1052.875,59.36666667,62.40416667,34.04166667,0.189166667,18.70833333,0.777083333
12-12-2022,78.02916667,46.9625,619.5416667,40.37083333,72.2,50.08333333,0.167083333,30.45833333,0.8
13-12-2022,53.96666667,33.04166667,460.5,20.91666667,41.18333333,59.83333333,0.1325,18.83333333,1.333333333
14-12-2022,0.895833333,0.620833333,60.33333333,0,0.533333333,29.58333333,0.044166667,0,2.166666667
15-12-2022,0.929166667,0.658333333,60.58333333,0,0.529166667,30.5,0.037083333,0,2.14375
16-12-2022,93.3375,61.20833333,1391.708333,41.81666667,46.7375,53.83333333,0.228333333,16.20833333,1.258333333
17-12-2022,144.8708333,96.1875,2108.5,58.575,69.49583333,50.79166667,0.3175,20.625,0.7625
18-12-2022,239.35,163.1208333,3027.5,96.23333333,138.4208333,56.875,0.470416667,17.625,0.65625
19-12-2022,221.025,152.6541667,1804.125,72.7875,148.1708333,64.625,0.482083333,8.666666667,0.65625
20-12-2022,159.9541667,109.4541667,1449.166667,60.71666667,109.9041667,71.41666667,0.444583333,10.41666667,0.629166667
21-12-2022,162.2,111.1625,1791.75,70.07083333,100.6166667,65.95833333,0.471666667,9.708333333,0.664583333
22-12-2022,140.525,95.78333333,1937.125,70.8625,52.47083333,60.29166667,0.43375,10.33333333,0.670833333
23-12-2022,149.85,102.6,2266.083333,92.63333333,63.09583333,46.66666667,0.757916667,9.041666667,0.591666667
24-12-2022,108.0666667,69.8125,1332.041667,60.31666667,42.25,60.70833333,0.65,22.20833333,0.56875
25-12-2022,123.2291667,81.90416667,1476.291667,51.625,60.56666667,83.83333333,0.4175,17.08333333,0.63125
26-12-2022,154.6875,105.1666667,1598.75,63.72083333,99.50833333,56.25,0.547916667,12.20833333,0.595833333
27-12-2022,142.4666667,93.75833333,1232.125,43,70.49166667,87.70833333,0.461666667,23.33333333,0.627083333
28-12-2022,122,76.92083333,1016.5,34.27083333,57.02916667,89.79166667,0.346666667,33.20833333,0.722916667
29-12-2022,160.6291667,109.8416667,1650.5,71.72083333,141.3125,65.95833333,0.463333333,10.45833333,0.554166667
30-12-2022,236.9541667,163.3041667,2888.958333,88.1875,139.5458333,59.04166667,0.829166667,10.08333333,0.464583333
31-12-2022,134.8083333,87.74166667,1788.5,56.89166667,43.44583333,38.83333333,0.487916667,25.54166667,0.722916667
01-01-2023,167.4958333,114.4875,3015.208333,91.05416667,68.45833333,47.58333333,0.480833333,11.33333333,0.677083333
02-01-2023,277.4375,192.9541667,6311.625,136.4125,139.2708333,41.5,0.609583333,5.083333333,0.602083333
03-01-2023,207.9041667,144.2333333,4205.458333,100.6125,95.84166667,48.375,0.530416667,5.125,0.616666667
